state,type,ease_tier,agency,portal,url,docs_available,access,link_verified_aug2026,est_projects_since_jan2025,notes
Alabama,Vertical,2,"Dept. of Finance, Division of Construction Management (DCM)",AlabamaBuilds (Public Works Bid Advertisements),https://alabamabuilds.gov,Bid ads for state/public works building projects; specs via awarding authority links,Free,yes,150,New statewide site (replaced dcm.alabama.gov ads in 2025); full spec books often come from the project architect or plan room named in each ad.
Alabama,DOT,1,Alabama DOT (ALDOT),ALDOT Project Letting,https://alletting.dot.state.al.us/,"Letting files, bid proposals, plans, notices by letting date",Free,no,750,Official letting file repository; blocked automated fetch during checks. E-bidding runs through Bid Express.
Alaska,Vertical,1,Office of the Lt. Governor (statewide notices),Alaska Online Public Notices,https://aws.state.ak.us/OnlinePublicNotices/,ITB/RFP notices for state facility construction with links to solicitation docs,Free,yes,80,DOT&PF handles public facilities; building solicitations are noticed here. Optional free myAlaska account for alerts.
Alaska,DOT,2,Alaska DOT & Public Facilities (DOT&PF),Construction & Maintenance Contracting,https://dot.alaska.gov/procurement/bidding/,"Bid calendar, advertising schedule; plans/specs via Bidx.com",Free registration,yes,150,Bid documents hosted on Bidx.com (free account); bidders need an AASHTOWare Project Vendor ID.
Arizona,Vertical,2,"Dept. of Administration, State Procurement Office",Arizona Procurement Portal (APP),https://app.az.gov/page.aspx/en/rfp/request_browse_public,Open solicitations incl. ADOA building/capital construction with attachments,Free registration,no,80,"Statewide eProcurement; viewing public, free vendor registration to respond. Bot protection blocked automated check."
Arizona,DOT,1,Arizona DOT (ADOT),ADOT Current Advertisements,https://cnsads.azdot.gov/current,"Proposal pamphlets, project plans, addenda as PDFs",Free registration,yes,150,PDFs download directly; each project has a plan-holders registration link. E-bidding via Bid Express.
Arkansas,Vertical,1,"Shared Administrative Services, Division of Building Authority",Building Authority Bid Announcements,https://sas.arkansas.gov/building-authority/bid-announcements/,"Ads, bid documents, bid tabulations",Free,yes,25,Free public access; spec books sometimes distributed via the project design professional listed in the ad.
Arkansas,DOT,1,Arkansas DOT (ARDOT),Currently Advertised Projects,https://ardot.gov/divisions/program-management/construction-contract-development/construction-contractors/currently-advertised-projects/,"Notices, proposals, plans, Q&A, EBS files per letting",Free,yes,300,"All documents free, no login. Bids submitted electronically by 10 a.m. letting day."
California,Vertical,2,Dept. of General Services,Cal eProcure (CA State Contracts Register),https://caleprocure.ca.gov/pages/index.aspx,CSCR solicitations incl. state facility construction with attachments,Free registration,yes,400,Public event search free without login; DGS RESD also posts some project solicitations on dgs.ca.gov.
California,DOT,2,"Caltrans, Office Engineer",Caltrans Advertised Projects (Weekly Ads),https://ppmoe.dot.ca.gov/des/oe/weekly-ads/all-adv-projects.php,"Bid books, special provisions, plans, addenda, bidder inquiries",Free registration,yes,250,Bid books public; plan sheets need a free Bidding Connect account plus signed NDA (allow ~7 days first time).
Colorado,Vertical,2,"DPA, Office of the State Architect",OSA Construction & Design Notices,https://osa.colorado.gov/state-buildings/construction-design-notices,Gateway to state agency construction solicitations over $50K,Free registration,yes,120,"Documents post on ColoradoVSS and Rocky Mountain E-Purchasing (BidNet), both free-registration platforms."
Colorado,DOT,2,Colorado DOT (CDOT),Highway & Bridge Construction Bidding,https://www.codot.gov/business/bidding,"Bid schedule; plans, specs, proposals via Bid Express",Free registration,yes,115,All docs through Bid Express (free account to view); primes must prequalify in B2G 17 days before bidding.
Connecticut,Vertical,2,DAS Construction Services,DAS Construction Services Bid Board,https://portal.ct.gov/das/construction-services/bidboard,"State building ITBs with specs, drawings, addenda on CTsource",Free registration,yes,60,Free to view; CTsource registration to respond. Projects over $1M need DAS prequalification.
Connecticut,DOT,2,Connecticut DOT (CTDOT),CTDOT Contractor Resources (CTsource Bid Board),https://portal.ct.gov/dot/business/contractor-resources,Ad schedules; bid packages with plans/proposals on CTsource,Free registration,yes,100,"No standalone CTDOT bid site anymore; filter CTsource Bid Board by 'Transportation, Dept. of'."
Delaware,Vertical,1,"OMB, Division of Facilities Management",Delaware Bid Solicitation Directory,https://bids.delaware.gov/,"Open solicitations with ITBs, specs, addenda",Free,yes,150,"PROVEN in live test: full spec books are free PDFs on bidcondocs.delaware.gov, no login. Listing UI is JavaScript-rendered."
Delaware,DOT,1,Delaware DOT (DelDOT),DelDOT Competitive Bids,https://deldot.gov/Business/bids/,"Proposals, plans, specifications for advertised contracts",Free,yes,130,"Full proposal PDFs served free from gssdocs.deldot.delaware.gov, no login."
