rank,metro,population_2023,core_counties
1,"New York-Newark-Jersey City, NY-NJ",19498249,New York/Kings/Queens NY
2,"Los Angeles-Long Beach-Anaheim, CA",12799100,Los Angeles/Orange CA
3,"Chicago-Naperville-Elgin, IL-IN",9262825,Cook/DuPage/Lake IL
4,"Dallas-Fort Worth-Arlington, TX",8100037,Dallas/Tarrant/Collin TX
5,"Houston-Pasadena-The Woodlands, TX",7510253,Harris/Fort Bend/Montgomery TX
6,"Atlanta-Sandy Springs-Roswell, GA",6307261,Fulton/Gwinnett/Cobb GA
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975,DC/Fairfax VA/Montgomery MD
8,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160,Philadelphia/Montgomery/Bucks PA
9,"Miami-Fort Lauderdale-West Palm Beach, FL",6183199,Miami-Dade/Broward/Palm Beach FL
10,"Phoenix-Mesa-Chandler, AZ",5070110,Maricopa/Pinal AZ
11,"Boston-Cambridge-Newton, MA-NH",4919179,Middlesex/Suffolk/Norfolk MA
12,"Riverside-San Bernardino-Ontario, CA",4688053,Riverside/San Bernardino CA
13,"San Francisco-Oakland-Fremont, CA",4566961,Alameda/Contra Costa/San Francisco CA
14,"Detroit-Warren-Dearborn, MI",4342304,Wayne/Oakland/Macomb MI
15,"Seattle-Tacoma-Bellevue, WA",4044837,King/Pierce/Snohomish WA
16,"Minneapolis-St. Paul-Bloomington, MN-WI",3712020,Hennepin/Ramsey/Dakota MN
17,"Tampa-St. Petersburg-Clearwater, FL",3342963,Hillsborough/Pinellas/Pasco FL
18,"San Diego-Chula Vista-Carlsbad, CA",3269973,San Diego CA
19,"Denver-Aurora-Centennial, CO",3005131,Denver/Arapahoe/Jefferson CO
20,"Baltimore-Columbia-Towson, MD",2834316,Baltimore Co/Baltimore City/Anne Arundel MD
21,"Orlando-Kissimmee-Sanford, FL",2817933,Orange/Osceola/Seminole FL
22,"Charlotte-Concord-Gastonia, NC-SC",2805115,Mecklenburg NC
23,"St. Louis, MO-IL",2796999,St. Louis Co/St. Charles/St. Louis City MO
24,"San Antonio-New Braunfels, TX",2703999,Bexar TX
25,"Portland-Vancouver-Hillsboro, OR-WA",2508050,"Multnomah/Washington OR, Clark WA"
26,"Austin-Round Rock-San Marcos, TX",2473275,Travis/Williamson TX
27,"Pittsburgh, PA",2422725,Allegheny PA
28,"Sacramento-Roseville-Folsom, CA",2420608,Sacramento/Placer CA
29,"Las Vegas-Henderson-North Las Vegas, NV",2336573,Clark NV
30,"Cincinnati, OH-KY-IN",2271479,Hamilton OH
31,"Kansas City, MO-KS",2221343,Jackson MO/Johnson KS
32,"Columbus, OH",2180271,Franklin OH
33,"Cleveland, OH",2158932,Cuyahoga OH
34,"Indianapolis-Carmel-Greenwood, IN",2138468,Marion/Hamilton IN
35,"Nashville-Davidson-Murfreesboro-Franklin, TN",2102573,Davidson/Rutherford TN
36,"San Jose-Sunnyvale-Santa Clara, CA",1945767,Santa Clara CA
37,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1787169,Virginia Beach/Chesapeake/Norfolk VA
38,"Jacksonville, FL",1713240,Duval FL
39,"Providence-Warwick, RI-MA",1677803,Providence RI
40,"Milwaukee-Waukesha, WI",1560424,Milwaukee/Waukesha WI
41,"Raleigh-Cary, NC",1509231,Wake NC
42,"Oklahoma City, OK",1477926,Oklahoma OK
43,"Louisville/Jefferson County, KY-IN",1365557,Jefferson KY
44,"Richmond, VA",1349732,Chesterfield/Henrico/Richmond City VA
45,"Memphis, TN-MS-AR",1335674,Shelby TN
46,"Salt Lake City-Murray, UT",1267864,Salt Lake UT
47,"Birmingham, AL",1184290,Jefferson AL
48,"Fresno, CA",1180020,Fresno CA
49,"Grand Rapids-Wyoming-Kentwood, MI",1162950,Kent MI
50,"Buffalo-Cheektowaga, NY",1155604,Erie NY
