rank,county,state,population,seat
1,Los Angeles,CA,9641000,Los Angeles
2,Cook,IL,5275541,Chicago
3,Harris,TX,5093721,Houston
4,Maricopa,AZ,4724969,Phoenix
5,San Diego,CA,3276954,San Diego
6,Orange,CA,3140987,Santa Ana
7,Miami-Dade,FL,2791914,Miami
8,Dallas,TX,2658781,Dallas
9,Kings,NY,2617631,New York
10,Riverside,CA,2560720,Riverside
11,Clark,NV,2407226,Las Vegas
12,King,WA,2340211,Seattle
13,Queens,NY,2316841,New York
14,Tarrant,TX,2266894,Fort Worth
15,San Bernardino,CA,2229418,San Bernardino
16,Bexar,TX,2181234,San Antonio
17,Broward,FL,2012945,Fort Lauderdale
18,Santa Clara,CA,1920872,San Jose
19,Wayne,MI,1771063,Detroit
20,Middlesex,MA,1669979,Cambridge
21,New York,NY,1660664,New York
22,Alameda,CA,1636636,Oakland
23,Sacramento,CA,1627023,Sacramento
24,Palm Beach,FL,1577304,West Palm Beach
25,Hillsborough,FL,1577032,Tampa
26,Philadelphia,PA,1550542,Philadelphia
27,Suffolk,NY,1535909,Riverhead
28,Orange,FL,1535016,Orlando
29,Travis,TX,1404419,Austin
30,Nassau,NY,1392438,Mineola
31,Bronx,NY,1384724,New York
32,Franklin,OH,1356303,Columbus
33,Collin,TX,1340145,McKinney
34,Oakland,MI,1325110,Pontiac
35,Hennepin,MN,1284784,Minneapolis
36,Cuyahoga,OH,1240594,Cleveland
37,Allegheny,PA,1224825,Pittsburgh
38,Salt Lake,UT,1220916,Salt Lake City
39,Wake,NC,1190275,Raleigh
40,Contra Costa,CA,1170606,Martinez
41,Mecklenburg,NC,1163701,Charlotte
42,Fairfax,VA,1160925,Fairfax
43,Fulton,GA,1107114,Atlanta
44,Denton,TX,1092466,Denton
45,Pima,AZ,1075914,Tucson
46,Montgomery,MD,1074582,Rockville
47,Duval,FL,1071194,Jacksonville
48,Fresno,CA,1037214,Fresno
49,Gwinnett,GA,1026334,Lawrenceville
50,Honolulu,HI,1016508,Honolulu
51,Westchester,NY,1006447,White Plains
52,Fort Bend,TX,999354,Richmond
53,Capitol Planning Region,CT,999036,Hartford
54,Marion,IN,992196,Indianapolis
55,St. Louis,MO,987059,Clayton
56,Bergen,NJ,977026,Hackensack
57,Prince George's,MD,967201,Upper Marlboro
58,Erie,NY,950602,Buffalo
59,Pierce,WA,941170,Tacoma
60,Pinellas,FL,936729,Clearwater
61,DuPage,IL,932877,Wheaton
62,Kern,CA,929488,Bakersfield
63,Hidalgo,TX,929486,Edinburg
64,Milwaukee,WI,924740,Milwaukee
65,Shelby,TN,910530,Memphis
66,Polk,FL,898146,Bartow
67,Essex,NJ,896379,Newark
68,Lee,FL,889547,Fort Myers
69,Macomb,MI,886175,Mount Clemens
70,Middlesex,NJ,883335,New Brunswick
71,El Paso,TX,875822,El Paso
72,Montgomery,PA,868742,Norristown
73,Snohomish,WA,864113,Everett
74,Worcester,MA,862111,Worcester
75,Baltimore,MD,854535,Towson
76,Hamilton,OH,837359,Cincinnati
77,San Francisco,CA,831213,San Francisco
78,San Joaquin,CA,830481,Stockton
79,Ventura,CA,828271,Ventura
80,Essex,MA,826653,Lawrence
81,Montgomery,TX,811205,Conroe
82,Oklahoma,OK,808866,Oklahoma City
83,Suffolk,MA,797936,Boston
84,Cobb,GA,797811,Marietta
85,Multnomah,OR,789698,Portland
86,Jefferson,KY,782969,Louisville
87,Williamson,TX,776641,Georgetown
88,DeKalb,GA,776204,Decatur
89,El Paso,CO,761724,Colorado Springs
90,Utah,UT,759859,Provo
91,Monroe,NY,752202,Rochester
92,San Mateo,CA,746509,Redwood City
93,Denver,CO,739635,Denver
94,Hudson,NJ,735033,Jersey City
95,Jackson,MO,732994,Kansas City
96,Davidson,TN,729505,Nashville
97,Norfolk,MA,725981,Dedham
98,Lake,IL,714342,Waukegan
99,Will,IL,696355,Joliet
100,District of Columbia,DC,693645,Washington
101,Pasco,FL,692842,Dade City
102,Ocean,NJ,673746,Toms River
103,Arapahoe,CO,671880,Littleton
104,Brevard,FL,671710,Titusville
105,Bernalillo,NM,671586,Albuquerque
106,Jefferson,AL,664899,Birmingham
107,Providence,RI,660615,Providence
108,Kent,MI,657974,Grand Rapids
109,Monmouth,NJ,651035,Freehold Borough
110,Tulsa,OK,650618,Tulsa
111,Bucks,PA,645984,Doylestown
112,Western Connecticut Planning Region,CT,643243,Stamford
113,Volusia,FL,612039,DeLand
114,Johnson,KS,609863,Olathe
115,Douglas,NE,606460,Omaha
116,Union,NJ,601863,Elizabeth
117,Washington,OR,598865,Hillsboro
118,New Castle,DE,590038,Wilmington
119,Dane,WI,588347,Madison
120,Anne Arundel,MD,588261,Annapolis
121,Jefferson,CO,580543,Golden
122,South Central Connecticut Planning Region,CT,579944,New Haven
123,Bristol,MA,579200,Taunton
124,Delaware,PA,576720,Media
125,Baltimore City,MD,569997,Baltimore
126,Pinal,AZ,563034,Florence
127,Adams,CO,560079,Brighton
128,Lancaster,PA,558589,Lancaster
129,Stanislaus,CA,558066,Modesto
130,Greenville,SC,558036,Greenville
131,Spokane,WA,555947,Spokane
132,Guilford,NC,549866,Greensboro
133,Chester,PA,549784,West Chester
134,Ada,ID,546141,Boise
135,Ramsey,MN,542015,Saint Paul
136,Montgomery,OH,537443,Dayton
137,Summit,OH,535882,Akron
138,Camden,NJ,535799,Camden
139,Passaic,NJ,531624,Paterson
140,Plymouth,MA,530819,Brockton
141,Sedgwick,KS,528469,Wichita
142,Clark,WA,527269,Vancouver
143,Morris,NJ,524251,Morristown
144,Polk,IA,516546,Des Moines
145,Kane,IL,516522,Geneva
146,Washoe,NV,507280,Reno
147,Knox,TN,506748,Knoxville
148,Lake,IN,498700,Crown Point
149,Richmond,NY,498212,New York
150,Osceola,FL,497560,Kissimmee
151,Seminole,FL,494104,Sanford
152,Sonoma,CA,487525,Santa Rosa
153,Tulare,CA,486441,Visalia
154,Sarasota,FL,483927,Sarasota
155,Prince William,VA,482204,Manassas
156,Burlington,NJ,481439,Mount Holly
157,Manatee,FL,477444,Bradenton
158,Onondaga,NY,469812,Syracuse
159,Lake,FL,468682,Tavares
160,Hampden,MA,465825,Springfield
161,Naugatuck Valley Planning Region,CT,465218,Waterbury
162,York,PA,464640,York
163,Virginia Beach (city),VA,459470,Virginia Beach
164,Marion,FL,457325,Ocala
165,Dakota,MN,455710,Hastings
166,Solano,CA,455676,Fairfield
167,Placer,CA,449883,Auburn
168,East Baton Rouge,LA,448467,Baton Rouge
169,Madison,AL,443961,Huntsville
170,Loudoun,VA,443380,Leesburg
171,Santa Barbara,CA,441049,Santa Barbara
172,Jefferson,LA,440781,Gretna
173,Cameron,TX,434940,Brownsville
174,Monterey,CA,434011,Salinas
175,Berks,PA,432821,Reading
176,Brazoria,TX,426744,Angleton
177,Lucas,OH,426291,Toledo
178,Richland,SC,425138,Columbia
179,Charleston,SC,424367,Charleston
180,Clackamas,OR,423173,Oregon City
181,Hillsborough,NH,422937,Manchester
182,Collier,FL,417540,Naples
183,Waukesha,WI,417029,Waukesha
184,St. Lucie,FL,413306,Fort Pierce
185,Orange,NY,411767,Goshen
186,Mobile,AL,411123,Mobile
187,Bell,TX,407057,Belton
188,Pulaski,AR,405828,Little Rock
