state,type,portal,project_id,project_name,bid_due_date,document_url,file_name,file_size,spec_format,divisions,retrieved_date,status
Maine,Vertical,maine_vertical,3843,3843,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3843_Project_Manual_DAFS.pdf,3843_Project_Manual_DAFS.pdf,3991753,CSI,00;01;03;04;05;06;07;08;09;10;11;12;22;23;26,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3337,3337,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3337_Project_Manual_DACF.pdf,3337_Project_Manual_DACF.pdf,3858872,CSI,00;01;31;32;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3548,3548,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3548_Project_Manual_DVEM.pdf,3548_Project_Manual_DVEM.pdf,3369370,CSI,00;01,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Project_Manual.pdf,3831_Project_Manual.pdf,25680487,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;21;22;23;26;27;28;31;32;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Project_Manual_DIFW.pdf,3845_Project_Manual_DIFW.pdf,2632837,CSI,00;01;23,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Project%20Manual_MCCS.pdf,3809_Project%20Manual_MCCS.pdf,8882846,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;21;22;23;26;27;28;31;32,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3786,3786,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3786%20Project%20Manual%20KVCC.pdf,3786%20Project%20Manual%20KVCC.pdf,7124341,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;13;21;22;23;26,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3560,3560,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3560%20Project%20Manual.pdf,3560%20Project%20Manual.pdf,20833052,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;21;22;23;24;26;31;32;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3779,3779,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3779%20Project%20Manual%20DACF_0.pdf,3779%20Project%20Manual%20DACF_0.pdf,5874145,CSI,00;01;02;03;04;05;06;07;08;09;21;31;32;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3674,3674,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3674%20Project%20Manual%20SMCC%20MCCS.pdf,3674%20Project%20Manual%20SMCC%20MCCS.pdf,3349414,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;21;22;23;24;26;27;28;29;31;32;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3852,3852,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3852%20Project%20Manual%20DACF.pdf,3852%20Project%20Manual%20DACF.pdf,1353622,CSI,00;01;02;03;07;08,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3403,3403,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3403%20Project%20Manual%20DOE%20rebid.pdf,3403%20Project%20Manual%20DOE%20rebid.pdf,7964066,CSI,01,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,,Project,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/Project%20Manual%20Boothbay%20Sprinkler.pdf,Project%20Manual%20Boothbay%20Sprinkler.pdf,24933828,CSI,00;01;02;21;22,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3600,3600,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3600%20Project%20Manual%20IFW.pdf,3600%20Project%20Manual%20IFW.pdf,5295472,CSI,00;01,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3766,3766,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3766%20Drawings%20and%20Project%20Manual.pdf,3766%20Drawings%20and%20Project%20Manual.pdf,28452806,CSI,00;01;26;27;31;32,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3466,3466,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3466%20Project%20Manual%20ACF%20Mt%20Battie.pdf,3466%20Project%20Manual%20ACF%20Mt%20Battie.pdf,3962898,CSI,00;01,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3799,3799,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3799_Specifications_MJB.pdf,3799_Specifications_MJB.pdf,13946302,CSI,00;01;03;04;05;06;07;08;09;10;12;14;21;22;23;26;31;32;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3971,3971,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3971_Specifications_and_Drawings_DVEM.pdf,3971_Specifications_and_Drawings_DVEM.pdf,31616838,unreadable,,2026-08-06,unreadable format
Maine,Vertical,maine_vertical,,Specifications,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/Specifications_Yarmouth_Rowe.pdf,Specifications_Yarmouth_Rowe.pdf,1529156,,,2026-08-06,downloaded
Maine,Vertical,maine_vertical,3820,3820,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3820_Specifications_DOC_MSP.pdf,3820_Specifications_DOC_MSP.pdf,2012178,CSI,00;01;02;03;05;06;07;08;09;10;22;23;26;27;31;32,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3897,3897,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3897_Specifications_DHHS_Bld%20B.pdf,3897_Specifications_DHHS_Bld%20B.pdf,937335,CSI,01;03;06;07;08;09;33,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3867,3867,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3867_Specifications_DHHS-RPC.pdf,3867_Specifications_DHHS-RPC.pdf,5707042,CSI,01;02,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3899,3899,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3899_Specifications_DACF%20%282%29_0.pdf,3899_Specifications_DACF%20%282%29_0.pdf,3932689,CSI,00;01,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3393,3393,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3393%20Specifications.pdf,3393%20Specifications.pdf,8628867,CSI,00;01;03;31;32;35,2026-08-06,"verified, not stored"
Maine,Vertical,maine_vertical,3894,3894,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3894%20Specifications%20DMR.pdf,3894%20Specifications%20DMR.pdf,16319974,CSI,00;01;02;03;31;32,2026-08-06,"verified, not stored"
Missouri,DOT,missouri_dot,JNW0105,"(1): Job JNW0105 Route VARIOUS VARIOUS County. 19 BRIDGE REHABILITATIONS on various routes in Daviess, Grundy, Harrison, Linn, Mercer, Putnam, and Sullivan Counties, the total length of improvement be",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22418?type=plan,22418?type=plan,947598,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JNWM0130,"(1): Job JNWM0130 Route I-35 HARRISON County. Pavement repair at Eagle Rest Area, the total length of improvement being 0.645 miles.",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22423?type=plan,22423?type=plan,460566,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JNE0024,"(1): Job JNE0024 Route 11 ADAIR, KNOX, LINN, SULLIVAN County. Resurface from Route 15 near Baring to Route 129 in Linn County, the total length of improvement being 41.787 miles. (2): Job JNE0254 Rout",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22388?type=plan,22388?type=plan,487351,,,2026-08-06,downloaded
Missouri,DOT,missouri_dot,JKU0066,"(1): Job JKU0066 Route 40 JACKSON County. Grading, pavement, coldmill, resurface, signal, wall and ADA improvements from Cliff Avenue to Little Blue Parkway near Independence, the total length of impr",,https://modotweb.modot.mo.gov/BidLettingPlansRoom/Letting/ViewStream/22411?type=plan,22411?type=plan,961531,,,2026-08-06,downloaded
